,ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
85,2863338-20220808,2863338,488425,1,ARCKEY WASHINGTON,ARCKEY WASHINGTON,3711 S VINCENNES AVE,CHICAGO,IL,60653,4.0,30.0,4-30,2.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2863338,ISSUE,08/08/2022,08/08/2022,08/08/2022,N,08/08/2022,08/15/2024,,08/08/2022,AAI,,,41.827201897,-87.611569409,"(41.82720189707372, -87.61156940870792)"
88,2863266-20220808,2863266,488319,1,THAI ORCHID SPA LLC,THAI ORCHID SPA,821 N MILWAUKEE AVE FLOOR 1,CHICAGO,IL,60642,27.0,,27-,,1010,Limited Business License,767 | 896 | 956 | 999,Retail Sales of General Merchandise and Non-Perishable Food | Skincare Services | Provide Waxing Services | Provide Non-Invasive Cupping Therapy,2863266,ISSUE,08/05/2022,08/05/2022,08/05/2022,N,08/08/2022,08/15/2024,08/05/2022,08/08/2022,AAI,,29.0,41.896756055,-87.655986646,"(41.896756055193975, -87.65598664623519)"
94,2863329-20220808,2863329,488422,1,ADRIAN M. JASER,ADRIAN M JASER,3547 W AINSLIE ST,CHICAGO,IL,60625,33.0,7.0,33-7,17.0,4406,Peddler License,915,"Street Performer, Moving Along the Public Way (Special)",2863329,ISSUE,08/08/2022,08/08/2022,08/08/2022,N,08/08/2022,08/15/2024,,08/08/2022,AAI,,,41.970064511,-87.717768831,"(41.9700645106881, -87.71776883146563)"
98,2850195-20220808,2850195,483628,2,X-GOLF CHICAGO LLC,X-GOLF WRIGLEYVILLE,3549 N SHEFFIELD AVE,CHICAGO,IL,60657,44.0,,44-,19.0,1050,Public Place of Amusement,746,"Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee",2850195,ISSUE,05/17/2022,05/17/2022,05/19/2022,N,08/08/2022,08/15/2024,08/08/2022,08/08/2022,AAI,,17.0,41.946868052,-87.654170779,"(41.94686805180506, -87.65417077896993)"
108,2841290-20220808,2841290,484766,1,PPMG GATEWAY LLC,PITA PITA MEDITERRANEAN GRILL,705 S SEELEY AVE 1ST,CHICAGO,IL,60612,28.0,,28-,12.0,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2841290,ISSUE,04/11/2022,04/26/2022,06/13/2022,N,08/08/2022,08/15/2024,08/05/2022,08/08/2022,AAI,,,41.873097353,-87.677454943,"(41.87309735332711, -87.67745494311458)"
110,2862778-20220808,2862778,251379,3,"MCKISSACK & MCKISSACK MIDWEST, INC.","MCKISSACK & MCKISSACK MIDWEST, INC.",111 E WACKER DR  420,CHICAGO,IL,60615,42.0,,42-,,1010,Limited Business License,602 | 619,Administrative Commercial Office | Business and Management Consulting,2862778,C_LOC,07/26/2022,07/26/2022,08/05/2022,N,08/08/2022,09/15/2024,08/05/2022,08/08/2022,AAI,,,41.888079426,-87.62404737,"(41.88807942610461, -87.62404736976374)"
120,2594592-20220516,2839348,426780,1,WAYNE CAVER,WAYNE CAVER,1225 W LUNT AVE  1B,CHICAGO,IL,60626,49.0,26.0,49-26,24.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2594592,RENEW,,03/15/2022,05/12/2022,N,05/16/2022,05/15/2024,,05/12/2022,AAI,,24.0,42.009061747,-87.662843562,"(42.00906174740222, -87.6628435619088)"
127,2845766-20220512,2845766,485407,1,OSCAR RODRIGUEZ,SWEET HUDSON,3730 N ST LOUIS AVE 2,CHICAGO,IL,60618,35.0,,35-,,4406,Peddler License,819,"Street Performer, Moving Along the Public Way",2845766,ISSUE,05/02/2022,05/02/2022,05/12/2022,N,05/12/2022,05/15/2024,,05/12/2022,AAI,,,41.949295485,-87.715387556,"(41.94929548544328, -87.71538755563643)"
129,2846326-20220512,2846326,485772,1,DION ALLEN HARDEN,DION ALLEN HARDEN,7750 S SEELEY AVE  1,CHICAGO,IL,60620,18.0,20.0,18-20,6.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2846326,ISSUE,05/12/2022,05/12/2022,05/12/2022,N,05/12/2022,05/15/2024,,05/12/2022,AAI,,,41.752355254,-87.674557809,"(41.752355254141385, -87.67455780860026)"
134,2818380-20220512,2818380,481113,1,CHABAD OF RIVER NORTH & FULTON MARKET,CHABAD DAY CARE,405 W SUPERIOR ST 1 1,CHICAGO,IL,60654,42.0,,42-,,1023,Children's Services Facility License,820,"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm",2818380,ISSUE,11/09/2021,11/09/2021,11/24/2021,N,05/12/2022,05/15/2024,05/11/2022,05/12/2022,AAI,,,41.895422139,-87.638793208,"(41.895422138635716, -87.63879320801375)"
140,2846300-20220512,2846300,485709,1,VICTOR MONDRAGON TELLES,VICTOR MONDRAGON TELLES,9515 S AVENUE N,CHICAGO,IL,60617,10.0,26.0,10-26,4.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2846300,ISSUE,05/12/2022,05/12/2022,05/12/2022,N,05/12/2022,05/15/2024,,05/12/2022,AAI,,,41.722441703,-87.538774378,"(41.72244170311266, -87.53877437808369)"
143,2845410-20220510,2845410,485183,1,NOT BY BREAD ALONE ONE L.L.C.,NOT BY BREAD ALONE,6836 S PAXTON AVE 3RD,CHICAGO,IL,60649,5.0,40.0,5-40,3.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2845410,ISSUE,04/26/2022,04/26/2022,04/26/2022,N,05/10/2022,05/15/2024,,05/11/2022,AAI,,,41.77056617,-87.571676421,"(41.77056616981751, -87.57167642074168)"
149,2732678-20220616,2844802,468146,1,DIAMOND COLLISION REPAIR LLC,DIAMOND COLLISION REPAIR LLC,6957-6959 W GRAND AVE,CHICAGO,IL,60707,36.0,,36-,,8340,Motor Vehicle Services License,1040,Engine and Body Work w/ Spray Booth,2732678,RENEW,,04/15/2022,05/12/2022,N,06/16/2022,06/15/2024,05/12/2022,05/12/2022,AAI,,,41.923448837,-87.80017288,"(41.92344883736579, -87.80017288022414)"
156,2808970-20220516,2836349,1928,3,"COOK-DUPAGE TRANSPORTATION COMPANY, INC.",NATIONAL EXPRESS TRANS,4301 S PACKERS AVE,CHICAGO,IL,60609,11.0,,11-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2808970,RENEW,,03/15/2022,05/11/2022,N,05/16/2022,05/15/2024,05/11/2022,05/12/2022,AAI,,13.0,41.815897667,-87.658503827,"(41.81589766744781, -87.6585038266102)"
197,2845171-20220513,2845171,484991,1,DG BEAUTY & PERMANENT MAKE UP LLC,DG BEAUTY & PERMANENT MAKE UP LLC,3966 N ELSTON AVE 1,CHICAGO,IL,60618,45.0,,45-,,4404,Regulated Business License,828,Tattoo / Permanent Body Art and Make-Up / Micro Blading,2845171,ISSUE,04/19/2022,04/19/2022,04/19/2022,N,05/13/2022,05/15/2024,05/13/2022,05/13/2022,AAI,,,41.953287135,-87.718735212,"(41.95328713452427, -87.71873521216257)"
206,2846439-20220513,2846439,485839,1,ANDREW CARLSON SCHUMM,ANDREW C SCHUMM,5732 N OLEANDER AVE,CHICAGO,IL,60631,41.0,43.0,41-43,16.0,4406,Peddler License,819,"Street Performer, Moving Along the Public Way",2846439,ISSUE,05/13/2022,05/13/2022,05/13/2022,N,05/13/2022,05/15/2024,,05/13/2022,AAI,,,41.98429073,-87.816091783,"(41.98429073001646, -87.81609178274309)"
207,2846339-20220513,2846339,53112,3,DEBORAH EPSTEIN,FANCY THAT,3550 N LAKE SHORE DR  712,CHICAGO,IL,60657,46.0,,46-,,4404,Regulated Business License,724,Other Home Based Businesses,2846339,C_LOC,05/12/2022,05/12/2022,05/12/2022,N,05/13/2022,06/15/2024,05/12/2022,05/13/2022,AAI,,,41.948130464,-87.643323857,"(41.94813046439078, -87.64332385698383)"
208,2840618-20220513,2840618,484408,1,PLANTX MIDWEST INC.,XMARKET,804 W MONTROSE AVE 1 & MEZZ,CHICAGO,IL,60613,46.0,,46-,,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2840618,ISSUE,03/30/2022,04/26/2022,03/31/2022,N,05/13/2022,05/15/2024,05/13/2022,05/13/2022,AAI,,34.0,41.961950551,-87.650132051,"(41.96195055112621, -87.6501320506605)"
209,2398517-20220516,2838664,389931,1,FESS TRADING INC.,DOLLAR PLUS VARIETY,5156 W FULLERTON AVE GROUND,CHICAGO,IL,60639,31.0,,31-,,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2398517,RENEW,,03/15/2022,05/12/2022,N,05/16/2022,05/15/2024,05/12/2022,05/13/2022,AAI,,,41.924220295,-87.755949852,"(41.92422029538042, -87.75594985199125)"
210,2840619-20220513,2840619,484408,1,PLANTX MIDWEST INC.,XMARKET,804 W MONTROSE AVE 1 & MEZZ,CHICAGO,IL,60613,46.0,,46-,,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2840619,ISSUE,03/30/2022,04/26/2022,03/31/2022,N,05/13/2022,05/15/2024,05/13/2022,05/13/2022,AAI,,34.0,41.961950551,-87.650132051,"(41.96195055112621, -87.6501320506605)"
211,2728345-20220516,2839706,467887,1,UNIVERSITY COWORK LLC,UNIVERSITY COWORK,6127 S UNIVERSITY AVE  1,CHICAGO,IL,60637,20.0,,20-,,1010,Limited Business License,602,Administrative Commercial Office,2728345,RENEW,,03/15/2022,05/13/2022,N,05/16/2022,05/15/2024,05/13/2022,05/13/2022,AAI,,,41.783322958,-87.597744841,"(41.78332295812876, -87.59774484142953)"
223,2840617-20220513,2840617,484408,1,PLANTX MIDWEST INC.,XMARKET,804 W MONTROSE AVE 1 & MEZZ,CHICAGO,IL,60613,46.0,,46-,,1474,Package Goods,774,Retail Sales of Packaged Liquor,2840617,ISSUE,03/30/2022,04/26/2022,03/31/2022,N,05/13/2022,05/15/2024,05/13/2022,05/13/2022,AAI,,34.0,41.961950551,-87.650132051,"(41.96195055112621, -87.6501320506605)"
226,2152267-20220516,2838349,371608,1,DEBORAH J. RIDDLE,DEBBIE'S SOUTHERN CUISINE,100 E 14TH ST 12TH 1207,CHICAGO,IL,60605,3.0,60.0,3-60,1.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2152267,RENEW,,03/15/2022,05/15/2022,N,05/16/2022,05/15/2024,,05/15/2022,AAI,,,41.864224258,-87.624074561,"(41.86422425830418, -87.62407456094904)"
232,2753317-20220916,2862198,469958,1,EVA THORPE,"BAGZ LADYE, EVA THORPE",5500 S SHORE DR 11 1110,CHICAGO,IL,60637,5.0,,5-,,4406,Peddler License,770,"Peddler (Over 65 Years of Age) - Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2753317,RENEW,,07/15/2022,08/08/2022,N,09/16/2022,09/15/2024,,08/08/2022,AAI,,,41.795185016,-87.580597772,"(41.79518501605705, -87.58059777168157)"
233,2839845-20220318,2839845,483954,1,MARIA DELOS ANGELES IZQUIERDO-ESPITIA,MARIA DELOS ANGELES IZQUIERDO,4100 S ASHLAND AVE OUTDOOR 201,CHICAGO,IL,60609,12.0,,12-,,1010,Limited Business License,904 | 911,Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes,2839845,ISSUE,03/15/2022,03/15/2022,03/17/2022,N,03/18/2022,04/15/2024,03/17/2022,03/18/2022,AAI,,10.0,41.819441426,-87.665375545,"(41.81944142629576, -87.6653755449091)"
236,2728470-20220516,2839741,467967,1,QUEEN VISION LLC,QUEEN NOIR BODY WAXING,908 E 47TH ST,CHICAGO,IL,60653,4.0,,4-,,1010,Limited Business License,896 | 956,Skincare Services | Provide Waxing Services,2728470,RENEW,,03/15/2022,08/09/2022,N,05/16/2022,05/15/2024,08/09/2022,08/09/2022,AAI,,47.0,41.809679126,-87.603542837,"(41.809679126207364, -87.60354283710049)"
258,2863359-20220809,2863359,488443,1,IMPORTMEX CORPORATION,IMPORTMEX CORPORATION,6146 S ARCHER AVE,CHICAGO,IL,60638,23.0,,23-,,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,2863359,ISSUE,08/08/2022,08/08/2022,08/08/2022,N,08/09/2022,08/15/2024,08/08/2022,08/09/2022,AAI,,,41.794318697,-87.772206083,"(41.79431869707475, -87.77220608306601)"
268,2744922-20220816,2856036,469166,1,E.H. HUDSON CONSULTING LLC,E.H. HUDSON CONSULTING,917 W 18TH ST 2ND FL,CHICAGO,IL,60608,25.0,,25-,,1010,Limited Business License,635,"Commissioned Staffing of Professional, Secretarial and Clerical Work",2744922,RENEW,,06/15/2022,06/29/2022,N,08/16/2022,08/15/2024,06/29/2022,08/09/2022,AAI,,,41.857942059,-87.649471778,"(41.85794205877055, -87.64947177765433)"
310,2834892-20220716,2848866,391654,2,"THE SPACE, LLC",THE SPACE LLC,4657 S DREXEL BLVD BALLROOM AND UNIT E,CHICAGO,IL,60653,4.0,,4-,,4404,Regulated Business License,661 | 670 | 767 | 896 | 904 | 926,Fitness Training On and Off Premise | Health Club | Retail Sales of General Merchandise and Non-Perishable Food | Skincare Services | Retail Sales of General Merchandise | Fitness Classes,2834892,RENEW,,05/15/2022,05/15/2022,N,07/16/2022,07/15/2024,05/15/2022,05/16/2022,AAI,,47.0,41.809713939,-87.603753368,"(41.809713938579684, -87.60375336825767)"
320,2846385-20220516,2846385,485792,1,DESIGN MODE INC.,DESIGN MODE,4205 N PULASKI RD STOREFRONT,CHICAGO,IL,60641,39.0,,39-,,1010,Limited Business License,602 | 767,Administrative Commercial Office | Retail Sales of General Merchandise and Non-Perishable Food,2846385,ISSUE,05/13/2022,05/13/2022,05/13/2022,N,05/16/2022,05/15/2024,05/13/2022,05/16/2022,AAI,,,41.957496556,-87.727581523,"(41.95749655606356, -87.7275815234499)"
321,2646216-20220516,2839430,427264,3,"DJJE HOLDINGS, LLC",THE PLACE FOR CHILDREN WITH AUTISM,3501 W 26TH ST,CHICAGO,IL,60623,22.0,,22-,,1010,Limited Business License,602,Administrative Commercial Office,2646216,RENEW,,03/15/2022,04/15/2022,N,05/16/2022,05/15/2024,04/15/2022,05/16/2022,AAI,,25.0,41.844301691,-87.71240564,"(41.844301691218504, -87.71240564022379)"
323,2831241-20220516,2831241,482998,1,CILANTRO TACO GRILL OLD TOWN LLC,CILANTRO TACO GRILL OLD TOWN,333 W NORTH AVE  B,CHICAGO,IL,60610,27.0,,27-,,1006,Retail Food Establishment,781 | 1050,Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,2831241,ISSUE,02/02/2022,02/02/2022,02/04/2022,N,05/16/2022,06/15/2024,05/16/2022,05/16/2022,AAI,,,41.911013149,-87.638017712,"(41.91101314874418, -87.63801771166592)"
335,2846396-20220516,2846396,485815,1,"ALOOR PROPERTIES, LLC","ALOOR PROPERTIES, LLC",5124 S INDIANA AVE  1N,CHICAGO,IL,60615,3.0,,3-,,4404,Regulated Business License,724,Other Home Based Businesses,2846396,ISSUE,05/13/2022,05/13/2022,05/13/2022,N,05/16/2022,05/15/2024,05/13/2022,05/16/2022,AAI,,52.0,41.801262526,-87.621154734,"(41.80126252630689, -87.62115473405045)"
342,2822699-20220516,2822699,481459,1,PEACH TREE ACADEMY LLC,PEACH TREE ACADEMY,4930 W DIVERSEY AVE,CHICAGO,IL,60639,31.0,,31-,,1023,Children's Services Facility License,820,"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm",2822699,ISSUE,11/24/2021,11/24/2021,11/29/2021,N,05/16/2022,06/15/2024,05/16/2022,05/16/2022,AAI,,,41.93159333,-87.750321019,"(41.93159332989326, -87.75032101904218)"
356,2803473-20220516,2803473,477705,1,PRISCILLA A. BANUELOS,PRISCILLA A. BANUELOS,4001 W ARGYLE ST,CHICAGO,IL,60630,39.0,8.0,39-8,17.0,4406,Peddler License,819,"Street Performer, Moving Along the Public Way",2803473,ISSUE,08/05/2021,08/05/2021,05/16/2022,N,05/16/2022,06/15/2024,,05/16/2022,AAI,,,41.971773606,-87.728191125,"(41.97177360641689, -87.72819112543313)"
362,2850164-20220516,2850164,485878,1,HORTENSIA PAREDES,GATITA'S FLOWERS HORTENCSIA PAREDES,5114 S HONORE ST,CHICAGO,IL,60609,16.0,8.0,16-8,9.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2850164,ISSUE,05/16/2022,05/16/2022,05/16/2022,N,05/16/2022,06/15/2024,,05/16/2022,AAI,,,41.80077801,-87.670995646,"(41.80077800981146, -87.6709956462254)"
379,2622165-20220516,2839429,427264,2,"DJJE HOLDINGS, LLC",THE PLACE FOR CHILDREN WITH AUTISM,2701 W PETERSON AVE,CHICAGO,IL,60659,40.0,,40-,,1010,Limited Business License,602,Administrative Commercial Office,2622165,RENEW,,03/15/2022,04/15/2022,N,05/16/2022,05/15/2024,04/15/2022,05/16/2022,AAI,,,41.990346333,-87.697025923,"(41.99034633253336, -87.69702592272303)"
384,2938498-20231020,2938498,502245,1,JAMES SWIRSKY,JAMES SWIRSKY,1016 W CULLERTON ST  1RB,CHICAGO,IL,60608,25.0,23.0,25-23,12.0,4406,Peddler License,819,"Street Performer, Moving Along the Public Way",2938498,ISSUE,10/20/2023,10/20/2023,10/20/2023,N,10/20/2023,11/15/2025,,10/20/2023,AAI,,,41.85537061,-87.652190923,"(41.85537061030212, -87.6521909225048)"
391,2709479-20220516,2839432,427264,5,"DJJE HOLDINGS, LLC",THE PLACE FOR CHILDREN WITH AUTISM,8609 W BRYN MAWR AVE  204,CHICAGO,IL,60631,41.0,,41-,,1010,Limited Business License,602,Administrative Commercial Office,2709479,RENEW,,03/15/2022,04/15/2022,N,05/16/2022,05/15/2024,04/15/2022,05/16/2022,AAI,,,41.980909712,-87.841933764,"(41.9809097118408, -87.84193376427498)"
394,2846409-20220516,2846409,485825,1,ARBOR PROPERTY MANAGEMENT LLC,ARBOR PROPERTY MANAGEMENT LLC,4800 N MAGNOLIA AVE,CHICAGO,IL,60640,47.0,,47-,,1010,Limited Business License,602,Administrative Commercial Office,2846409,ISSUE,05/13/2022,05/13/2022,05/13/2022,N,05/16/2022,05/15/2024,05/13/2022,05/16/2022,AAI,,31.0,41.969064291,-87.66119427,"(41.969064290678354, -87.66119427016602)"
410,2834980-20220716,2848596,374012,3,"LARRY ASIMOW LANDSCAPING, INC.","LARRY ASIMOW LANDSCAPING, INC.",5038 N LINCOLN AVE,CHICAGO,IL,60625,40.0,,40-,,4404,Regulated Business License,634 | 658 | 756 | 813,"Commercial Landscaping Services | Fence Installation, Brick Patios, Retaining Walls, Cement Work In Residential Properties | Residential Landscaping Services | Snowplowing",2834980,RENEW,,05/15/2022,05/16/2022,N,07/16/2022,07/15/2024,05/16/2022,05/16/2022,AAI,,21.0,41.972837002,-87.691448134,"(41.972837001917405, -87.69144813415896)"
414,2423722-20220716,2848888,391908,4,"ANDCO CONSULTING, LLC",THE BOGDAHN GROUP,225 W WACKER DR 15TH 1545,CHICAGO,IL,60606,42.0,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2423722,RENEW,,05/15/2022,05/16/2022,N,07/16/2022,07/15/2024,05/16/2022,05/16/2022,AAI,,,41.886709222,-87.634710899,"(41.88670922202607, -87.6347108994595)"
423,2862598-20230816,2917395,487852,1,CC STOP SHOP DISCOUNT INC.,CC STOP SHOP DISCOUNT,15 S CICERO AVE,CHICAGO,IL,60644,28.0,,28-,11.0,1781,Tobacco,776 | 936 | 937,Retail Sales of Tobacco Products | Retail Sales of Tobacco Accessories | Retail Sales of Tobacco and Flavored Tobacco Products,2862598,RENEW,,06/15/2023,10/19/2023,N,08/16/2023,08/15/2024,10/19/2023,10/20/2023,AAI,,,41.879967095,-87.745113382,"(41.87996709490372, -87.74511338225935)"
434,2738403-20220716,2849928,468502,1,ROY FLOWERS,FLOWERS BARBER/BEAUTYSHOP,5106 W CHICAGO AVE,CHICAGO,IL,60651,37.0,,37-,,1010,Limited Business License,894,Hair Services,2738403,RENEW,,05/15/2022,05/15/2022,N,07/16/2022,07/15/2024,05/15/2022,05/16/2022,AAI,,,41.895069218,-87.753493746,"(41.89506921803678, -87.75349374588757)"
439,2728555-20220516,2839762,468025,1,"BEST FOR LESS, HARRY'S HANDYMAN SERVICE, INC.",BEST FOR LESS HARRY'S HANDYMAN SERVICE,4828 W MEDILL AVE 1ST,CHICAGO,IL,60639,31.0,,31-,,4404,Regulated Business License,662 | 674 | 733 | 758,"Flooring and Window Install, Repair or Replace (Home Based Business) | Home Repair Services (Home Based Business) | Power-Washing Service (Home Based Business) | Residential Remodeling and Repair (Home Based Business)",2728555,RENEW,,03/15/2022,05/13/2022,N,05/16/2022,05/15/2024,05/13/2022,05/16/2022,AAI,,,41.92342337,-87.74760551,"(41.923423369579844, -87.74760550987371)"
444,2723516-20220916,2860080,341120,4,"NOMURA AMERICA SERVICES, LLC","NOMURA AMERICA SERVICES, LLC",1 N WACKER DR 17 1775,CHICAGO,IL,60606,42.0,,42-,,1010,Limited Business License,897,Financial Services Commercial Office,2723516,RENEW,,07/15/2022,08/08/2022,N,09/16/2022,09/15/2024,08/08/2022,08/09/2022,AAI,,,41.881951876,-87.636620349,"(41.88195187648601, -87.63662034940238)"
